Model	Epoch	Timestamp	Learningrate	Train Loss	Validation Loss	Accuracy	Precision	Recall	F1 Score Macro	F1 Score Micro	MCC	AUROC
llama	0.84273	0.7652	         0.6650	0.5981	0.6086	         0.7652	0.2545
llama	0.75519	0.8041	         0.5769	0.5484	0.5539	         0.8041	0.1221
mixed	0.72119	0.7798	         0.7943	0.7798	0.7771	         0.7798	0.5739
mixed	0.18560	0.9248	         0.9268	0.9248	0.9247	         0.9248	0.8516
mixed	0.58610	0.7443	         0.6266	0.5890	0.5967	         0.7443	0.2123
mixed	0.44446	0.7994	         0.6124	0.6025	0.6069	         0.7994	0.2147
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
llama	1.27200	0.6520	         0.6965	0.7334	0.6463	         0.6520	0.4283
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.45405	0.7975	         0.8006	0.8132	0.7960	         0.7975	0.6137
mixed	0.18560	0.9248	         0.9268	0.9248	0.9247	         0.9248	0.8516
mixed	0.18560	0.9248	         0.9268	0.9248	0.9247	         0.9248	0.8516
mixed	0.18560	0.9248	         0.9268	0.9248	0.9247	         0.9248	0.8516
mixed	0.18560	0.9248	         0.9268	0.9248	0.9247	         0.9248	0.8516
mixed	0.18560	0.9248	         0.9268	0.9248	0.9247	         0.9248	0.8516
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
llama	1.27200	0.6520	         0.6965	0.7334	0.6463	         0.6520	0.4283
llama	1.27200	0.6520	         0.6965	0.7334	0.6463	         0.6520	0.4283
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
mixed	0.66105	0.7608	         0.7459	0.7999	0.7445	         0.7608	0.5431
llama	1.27200	0.6520	         0.6965	0.7334	0.6463	         0.6520	0.4283
